incident_id,case_number,report_date,report_time,occurred_date,occurred_time,crime_type,crime_category,ucr_code,crime_severity,premises_type,location_description,latitude,longitude,district,beat,neighborhood,zip_code,ward,victim_count,victim_age_group,victim_gender,victim_race,suspect_count,suspect_age_group,suspect_gender,suspect_race,arrest_made,arrest_date,charges_filed,case_status,clearance_type,weapon_used,domestic_related,gang_related,hate_crime,property_damage,estimated_loss,stolen_vehicles,recovered_property,officer_id,responding_officers,investigation_hours,witnesses,evidence_collected,video_footage,day_of_week,time_category,season,month,year,is_holiday,weather,temperature_f,reported_by,priority_level,arrest_date_status,arrest_status
INC00000011,2023-000011,2023-08-19,12:43:00,2023-08-16,02:34:00,Burglary,Property,7R,Infraction,Other,9302 Maple St,40.574322,-73.75759,Downtown,4D,Northgate,51192,7,1,65+,Male,Hispanic,2,55+,Female,Black,Yes,,No,Under Investigation,Unknown,Unknown,No,No,Yes,No,24638,0,Yes,OFF0437,2,103,4,Yes,No,Monday,Night,Summer,August,2023,No,Snow,46,Officer,High,Not Applicable / Pending,Pending
INC00000012,2023-000012,2023-05-22,16:59:00,2023-05-17,13:33:00,Assault,Violent,5X,Felony,Gas Station,8678 Main St,40.539942,-74.047844,South,4A,Riverside,19927,1,4,25-34,Female,Asian,0,35-44,Unknown,Black,No,,No,Under Investigation,Arrest,Knife,No,No,No,No,0,0,No,OFF0455,3,152,0,No,Yes,Wednesday,Afternoon,Spring,May,2023,No,Fog,69,Anonymous,Medium,Not Applicable / Pending,Not Applicable
INC00000013,2023-000013,2023-06-20,05:26:00,2023-06-16,23:10:00,Homicide,Violent,7Z,Felony,Gas Station,7616 Cedar St,40.672919,-73.796719,Central,3A,Downtown Core,22486,8,3,35-44,Male,Other,0,Unknown,Unknown,Black,No,,No,Suspended,Unknown,Unknown,No,No,No,Yes,0,0,No,OFF0322,1,3,0,Yes,Yes,Thursday,Night,Summer,June,2023,No,Clear,89,Witness,High,Not Applicable / Pending,Not Applicable
INC00000014,2023-000014,2023-06-30,13:06:00,2023-06-28,13:26:00,DUI,Other,2O,Misdemeanor,Transit,9356 Pine St,40.593166,-74.090941,Central,16E,Downtown Core,91092,6,4,18-24,Female,White,1,Unknown,Unknown,Unknown,No,,No,Closed - Arrested,Exceptional,Unknown,Yes,Yes,No,No,18188,0,No,OFF0456,3,61,3,No,No,Sunday,Afternoon,Summer,July,2023,No,Snow,47,Witness,Low,Not Applicable / Pending,Not Applicable
INC00000015,2023-000015,2023-12-25,19:43:00,2023-12-19,18:25:00,Sexual Assault,Violent,4Q,Misdemeanor,Restaurant,4178 Main St,40.829991,-73.797276,West,4C,Hillside,82897,1,3,35-44,Unknown,Other,0,Unknown,Male,Unknown,No,,Yes,Closed - Cleared,Unknown,Knife,No,No,No,Yes,0,0,No,OFF0442,2,168,1,Yes,No,Wednesday,Evening,Winter,December,2023,No,Cloudy,32,Witness,High,Not Applicable / Pending,Not Applicable
INC00000016,2023-000016,2023-12-19,04:20:00,2023-12-13,17:38:00,Vandalism,Other,5I,Felony,School,6064 Maple St,40.625306,-74.028558,East,2B,Oak Park,76639,11,4,25-34,Unknown,Other,3,25-34,Unknown,Other,No,,No,Open,Unknown,Unknown,No,No,No,Yes,0,0,No,OFF0060,3,1,1,Yes,No,Thursday,Evening,Winter,December,2023,Yes,Rain,88,Officer,Low,Not Applicable / Pending,Not Applicable
INC00000017,2023-000017,2023-01-01,03:34:00,2022-12-29,13:17:00,Domestic Violence,Other,6I,Misdemeanor,Convenience Store,6071 Cedar St,40.533676,-73.884904,Downtown,5A,Eastbrook,61685,6,3,45-54,Female,White,3,Unknown,Female,Unknown,No,,Yes,Closed - Unfounded,Unfounded,Unknown,Yes,No,No,Yes,0,0,No,OFF0059,1,32,3,Yes,Yes,Tuesday,Afternoon,Winter,January,2023,No,Rain,59,Witness,High,Not Applicable / Pending,Not Applicable
INC00000018,2023-000018,2023-06-24,22:04:00,2023-06-20,09:01:00,Robbery,Property,4X,Infraction,Gas Station,308 Maple St,40.463864,-73.814731,South,16B,Midtown,21733,15,3,18-24,Unknown,Hispanic,2,55+,Unknown,Unknown,No,,Yes,Closed - Cleared,Unfounded,Blunt Object,No,No,No,Yes,48160,0,Yes,OFF0012,3,191,1,No,No,Monday,Morning,Summer,June,2023,No,Rain,85,Third Party,Low,Not Applicable / Pending,Not Applicable
INC00000019,2023-000019,2023-06-02,20:54:00,2023-05-27,11:44:00,Sexual Assault,Violent,4U,Misdemeanor,Park,5956 Main St,40.74528,-73.820759,Central,3E,Hillside,53100,4,3,18-24,Unknown,Other,3,0-17,Unknown,Unknown,No,,Yes,Suspended,Exceptional,Unknown,No,No,No,No,1945,0,No,OFF0042,1,79,1,Yes,No,Sunday,Morning,Summer,June,2023,No,Snow,52,Witness,Medium,Not Applicable / Pending,Not Applicable
INC00000020,2023-000020,2023-11-26,02:52:00,2023-11-23,12:11:00,Weapons Violation,Other,4Z,Felony,Parking Lot,2700 Cedar St,40.84575,-74.044459,West,9A,Eastbrook,17852,9,3,55-64,Unknown,Other,3,Unknown,Male,Hispanic,No,,No,Closed - Unfounded,Unfounded,Unknown,No,No,No,No,0,0,No,OFF0469,2,19,4,Yes,Yes,Tuesday,Afternoon,Fall,November,2023,No,Fog,76,Victim,High,Not Applicable / Pending,Not Applicable
INC00000021,2023-000021,2023-03-18,23:09:00,2023-03-13,11:04:00,Sexual Assault,Violent,6O,Felony,Convenience Store,857 Oak St,40.94789,-73.911461,West,17A,Westside,23890,5,1,55-64,Unknown,Asian,0,Unknown,Unknown,Unknown,Yes,,No,Suspended,Unknown,Unknown,Yes,No,No,No,24470,0,No,OFF0409,1,76,0,No,Yes,Monday,Morning,Spring,March,2023,No,Clear,63,Officer,Medium,Not Applicable / Pending,Pending
INC00000022,2023-000022,2023-09-16,01:46:00,2023-09-12,22:42:00,Vandalism,Other,8Y,Misdemeanor,School,1621 Main St,40.804122,-74.243293,Central,20A,Northgate,10743,15,2,18-24,Male,Asian,3,55+,Unknown,Asian,No,,No,Closed - Arrested,Exceptional,Unknown,Yes,No,No,No,0,0,No,OFF0327,1,85,0,No,Yes,Monday,Night,Fall,September,2023,No,Clear,49,Third Party,High,Not Applicable / Pending,Not Applicable
INC00000023,2023-000023,2023-08-17,19:57:00,2023-08-17,02:58:00,Weapons Violation,Other,2X,Felony,Convenience Store,927 Pine St,40.939261,-74.161953,Suburbs,20C,Riverside,61331,2,2,55-64,Female,White,3,18-24,Female,Unknown,No,,No,Closed - Cleared,Arrest,Unknown,No,No,No,Yes,11107,0,Yes,OFF0429,3,5,3,No,No,Saturday,Night,Summer,August,2023,No,Fog,79,Victim,High,Not Applicable / Pending,Not Applicable
INC00000024,2023-000024,2023-12-02,23:39:00,2023-12-01,18:07:00,Theft,Property,6D,Felony,Park,6123 Pine St,40.767402,-74.239836,Central,2C,Harbor District,24449,15,3,45-54,Unknown,Unknown,2,45-54,Female,Black,No,,No,Open,Unknown,Unknown,No,No,No,Yes,10116,0,No,OFF0175,1,185,3,Yes,Yes,Monday,Evening,Winter,December,2023,No,Snow,45,Third Party,High,Not Applicable / Pending,Not Applicable
INC00000025,2023-000025,2023-01-18,09:35:00,2023-01-15,08:05:00,Arson,Other,3T,Infraction,Office,4959 Pine St,40.736814,-73.958736,South,19A,Westside,64093,10,2,65+,Female,White,1,Unknown,Female,Unknown,No,,No,Suspended,Unknown,Unknown,No,No,No,No,28671,0,No,OFF0094,1,18,0,Yes,No,Friday,Morning,Winter,January,2023,No,Clear,35,Witness,Medium,Not Applicable / Pending,Not Applicable
INC00000026,2023-000026,2023-03-21,10:27:00,2023-03-17,13:42:00,Cybercrime,Other,5P,Infraction,Transit,5326 Elm St,40.636247,-73.82808,North,19A,Eastbrook,17489,9,4,0-17,Female,Hispanic,2,0-17,Unknown,Hispanic,Yes,,Yes,Closed - Unfounded,Unknown,Knife,No,No,No,No,23672,0,Yes,OFF0211,2,92,2,No,No,Thursday,Afternoon,Spring,March,2023,No,Rain,49,Third Party,High,Not Applicable / Pending,Pending
INC00000027,2023-000027,2023-02-28,19:38:00,2023-02-28,10:22:00,Domestic Violence,Other,8J,Misdemeanor,Park,2168 Elm St,40.919233,-74.094191,Downtown,14B,Midtown,39334,5,3,0-17,Male,Unknown,0,18-24,Unknown,Black,Yes,,Yes,Open,Unknown,Firearm,No,No,No,No,25881,0,No,OFF0210,1,196,0,No,No,Thursday,Morning,Spring,March,2023,No,Rain,79,Witness,High,Not Applicable / Pending,Pending
INC00000028,2023-000028,2023-08-12,06:07:00,2023-08-10,21:50:00,DUI,Other,5M,Infraction,School,2462 Maple St,40.50055,-73.827996,Central,11A,Hillside,57861,15,4,45-54,Unknown,Asian,1,0-17,Unknown,Asian,No,,Yes,Open,Exceptional,Blunt Object,Yes,No,No,Yes,0,0,Yes,OFF0109,2,131,4,No,No,Monday,Night,Summer,August,2023,No,Snow,33,Third Party,Low,Not Applicable / Pending,Not Applicable
INC00000029,2023-000029,2023-03-27,06:56:00,2023-03-27,03:59:00,Burglary,Property,9F,Infraction,Commercial,2838 Elm St,40.493705,-74.075082,Downtown,3E,Harbor District,40796,1,1,0-17,Male,Hispanic,0,Unknown,Unknown,Asian,Yes,2023-04-18,No,Under Investigation,Unknown,Blunt Object,No,No,No,Yes,3868,0,No,OFF0057,1,175,4,Yes,Yes,Wednesday,Night,Spring,March,2023,No,Rain,32,Anonymous,High,Recorded,Completed
INC00000030,2023-000030,2023-02-20,03:55:00,2023-02-17,16:07:00,Robbery,Property,4D,Misdemeanor,Hospital,3823 Maple St,40.872631,-73.864566,Central,20C,Midtown,23395,12,2,18-24,Unknown,White,1,45-54,Male,Unknown,No,,Yes,Suspended,Unknown,Unknown,Yes,Yes,No,No,3838,0,No,OFF0244,3,29,4,No,Yes,Wednesday,Afternoon,Winter,February,2023,No,Clear,37,Victim,Low,Not Applicable / Pending,Not Applicable
INC00000031,2023-000031,2023-03-19,04:45:00,2023-03-15,23:28:00,Burglary,Property,8A,Misdemeanor,Commercial,398 Main St,40.956505,-74.193042,Downtown,7D,Southview,14685,7,4,0-17,Female,Asian,2,35-44,Unknown,Unknown,No,,No,Under Investigation,Unknown,Unknown,No,No,Yes,Yes,3575,0,Yes,OFF0289,1,6,0,No,Yes,Tuesday,Night,Spring,March,2023,No,Fog,58,Victim,High,Not Applicable / Pending,Not Applicable
INC00000032,2023-000032,2023-01-19,03:01:00,2023-01-14,10:30:00,Cybercrime,Other,9P,Infraction,Transit,8822 Oak St,40.495012,-74.067211,Downtown,6B,Westside,25551,13,2,18-24,Unknown,Asian,0,55+,Male,Other,No,,No,Open,Unfounded,Unknown,Yes,No,No,Yes,0,0,No,OFF0003,3,168,3,No,No,Saturday,Morning,Winter,January,2023,No,Fog,50,Witness,Medium,Not Applicable / Pending,Not Applicable
INC00000033,2023-000033,2023-02-08,06:14:00,2023-02-05,13:29:00,Drug Offense,Other,3Z,Infraction,Hospital,1679 Elm St,40.484105,-73.932712,West,14E,Westside,13388,2,4,65+,Unknown,Other,3,Unknown,Male,Hispanic,No,,Yes,Closed - Cleared,Unfounded,Unknown,No,Yes,No,Yes,0,0,No,OFF0297,1,118,0,No,No,Friday,Afternoon,Winter,February,2023,No,Clear,42,Third Party,Medium,Not Applicable / Pending,Not Applicable
INC00000034,2023-000034,2023-03-10,06:08:00,2023-03-04,22:40:00,DUI,Other,9T,Felony,Restaurant,1570 Maple St,40.792794,-73.892411,North,3A,Westside,89629,9,1,35-44,Unknown,Hispanic,3,Unknown,Female,Unknown,Yes,2023-03-13,Yes,Under Investigation,Arrest,Firearm,No,Yes,No,No,0,0,Yes,OFF0432,1,161,4,Yes,No,Sunday,Night,Spring,March,2023,No,Cloudy,89,Officer,Low,Recorded,Completed
INC00000035,2023-000035,2023-11-05,21:01:00,2023-11-05,21:01:00,Weapons Violation,Other,6O,Infraction,Mall,6776 Elm St,40.474863,-74.171963,South,17B,Midtown,26004,5,1,25-34,Unknown,Unknown,1,Unknown,Male,Unknown,No,,Yes,Under Investigation,Unfounded,Other,No,No,No,No,0,0,Yes,OFF0355,2,98,3,Yes,No,Tuesday,Night,Fall,November,2023,No,Rain,74,Witness,High,Not Applicable / Pending,Not Applicable
INC00000036,2023-000036,2023-04-23,15:15:00,2023-04-18,18:16:00,Burglary,Property,1L,Misdemeanor,Hospital,4093 Main St,40.689513,-74.07508,Suburbs,17E,Downtown Core,48214,3,1,25-34,Male,Asian,1,Unknown,Male,Asian,No,,Yes,Open,Arrest,Unknown,No,No,No,Yes,0,0,No,OFF0042,3,76,1,No,No,Tuesday,Evening,Spring,April,2023,No,Snow,78,Officer,Medium,Not Applicable / Pending,Not Applicable
INC00000037,2023-000037,2023-09-19,19:11:00,2023-09-17,06:40:00,Assault,Violent,6C,Felony,Mall,7797 Cedar St,40.480873,-74.093671,Central,20D,Riverside,24634,9,4,0-17,Unknown,Asian,1,35-44,Female,Black,No,,No,Open,Unknown,Unknown,No,No,No,No,21484,0,No,OFF0452,1,187,4,No,No,Thursday,Morning,Fall,September,2023,No,Rain,56,Officer,Medium,Not Applicable / Pending,Not Applicable
INC00000038,2023-000038,2023-11-20,06:54:00,2023-11-13,15:59:00,Drug Offense,Other,7U,Infraction,Bank,8810 Oak St,40.56708,-74.255696,Downtown,11E,Riverside,98248,12,3,0-17,Male,Other,0,Unknown,Male,Unknown,Yes,,No,Closed - Cleared,Exceptional,Unknown,No,No,No,No,19641,0,No,OFF0373,1,23,4,No,No,Wednesday,Afternoon,Fall,November,2023,No,Snow,59,Witness,High,Not Applicable / Pending,Pending
INC00000039,2023-000039,2023-07-03,06:40:00,2023-06-30,11:20:00,Vehicle Theft,Property,4S,Infraction,Residence,1142 Elm St,40.852153,-74.081128,Downtown,12E,Riverside,68129,2,2,35-44,Male,Other,0,0-17,Female,Black,No,,No,Closed - Arrested,Unknown,Unknown,No,No,No,No,395,1,Yes,OFF0310,3,199,4,Yes,No,Wednesday,Morning,Summer,July,2023,No,Fog,74,Officer,Low,Not Applicable / Pending,Not Applicable
INC00000040,2023-000040,2023-11-09,06:37:00,2023-11-09,23:32:00,Assault,Violent,1H,Felony,Hospital,528 Cedar St,40.923909,-73.987395,West,16D,Oak Park,60367,13,3,18-24,Female,Black,2,45-54,Female,Asian,No,,No,Closed - Unfounded,Unfounded,Unknown,No,No,No,No,12962,0,No,OFF0101,3,163,4,Yes,Yes,Saturday,Night,Fall,November,2023,No,Snow,53,Third Party,Low,Not Applicable / Pending,Not Applicable
INC00000041,2023-000041,2023-06-04,14:09:00,2023-05-29,15:34:00,Drug Offense,Other,7O,Felony,Other,2026 Maple St,40.911762,-74.133127,Suburbs,13D,Hillside,53485,13,2,65+,Unknown,Unknown,1,18-24,Male,Unknown,No,,No,Suspended,Unknown,Unknown,Yes,No,No,No,0,0,Yes,OFF0451,3,76,2,Yes,No,Tuesday,Afternoon,Summer,June,2023,No,Clear,87,Third Party,High,Not Applicable / Pending,Not Applicable
INC00000042,2023-000042,2023-08-21,18:12:00,2023-08-20,12:46:00,Burglary,Property,9E,Felony,Restaurant,3759 Elm St,40.565921,-74.152553,Central,17D,Riverside,20486,11,1,45-54,Female,White,3,35-44,Female,White,No,,Yes,Closed - Arrested,Unknown,Unknown,No,No,No,No,10186,0,No,OFF0254,3,25,0,No,No,Wednesday,Afternoon,Summer,August,2023,No,Cloudy,49,Victim,Low,Not Applicable / Pending,Not Applicable
INC00000043,2023-000043,2023-02-16,05:45:00,2023-02-12,17:32:00,DUI,Other,1X,Infraction,Gas Station,7353 Pine St,40.905035,-73.888772,Suburbs,16A,Southview,22391,2,4,25-34,Male,Black,1,Unknown,Male,Unknown,Yes,,No,Open,Unknown,Unknown,No,Yes,No,No,0,0,Yes,OFF0374,3,27,4,Yes,Yes,Saturday,Evening,Winter,February,2023,No,Rain,57,Officer,Low,Not Applicable / Pending,Pending
INC00000044,2023-000044,2023-11-13,09:21:00,2023-11-07,03:01:00,DUI,Other,5V,Infraction,Park,8784 Cedar St,40.851167,-73.97761,West,9E,Downtown Core,12430,2,4,25-34,Female,Black,0,0-17,Unknown,Unknown,Yes,,No,Closed - Unfounded,Arrest,Unknown,No,No,No,No,0,0,No,OFF0452,2,138,4,Yes,Yes,Wednesday,Night,Fall,November,2023,No,Fog,39,Anonymous,Medium,Not Applicable / Pending,Pending
INC00000045,2023-000045,2023-05-13,10:48:00,2023-05-10,07:31:00,Fraud,Other,9I,Misdemeanor,Park,5554 Elm St,40.564193,-74.20969,Central,11E,Northgate,91021,10,2,35-44,Male,Other,0,Unknown,Unknown,Asian,No,,Yes,Closed - Unfounded,Unknown,Other,No,No,No,No,43789,0,Yes,OFF0156,3,110,2,Yes,No,Monday,Morning,Spring,May,2023,No,Cloudy,62,Witness,Medium,Not Applicable / Pending,Not Applicable
INC00000046,2023-000046,2023-08-09,19:08:00,2023-08-05,03:43:00,Burglary,Property,2T,Infraction,Restaurant,9487 Cedar St,40.548102,-73.769574,North,3D,Westside,41898,10,2,25-34,Unknown,Other,0,18-24,Unknown,Unknown,No,,No,Closed - Cleared,Unknown,Unknown,No,Yes,No,Yes,0,0,Yes,OFF0112,1,25,4,Yes,No,Friday,Night,Summer,August,2023,No,Rain,39,Anonymous,Medium,Not Applicable / Pending,Not Applicable
INC00000047,2023-000047,2023-12-26,21:45:00,2023-12-21,23:54:00,Drug Offense,Other,9B,Felony,Mall,9287 Oak St,40.914396,-74.131205,West,19C,Riverside,49933,3,2,0-17,Unknown,Black,2,25-34,Unknown,Unknown,Yes,,No,Open,Unknown,Unknown,Yes,No,No,No,0,0,Yes,OFF0408,1,102,0,Yes,No,Thursday,Night,Winter,December,2023,Yes,Clear,32,Witness,Low,Not Applicable / Pending,Pending
INC00000048,2023-000048,2023-11-03,16:56:00,2023-11-01,08:24:00,Domestic Violence,Other,7L,Infraction,Transit,6427 Pine St,40.493932,-74.175058,North,7D,Harbor District,45079,11,3,65+,Female,White,3,35-44,Unknown,Unknown,Yes,2023-11-27,No,Suspended,Unknown,Unknown,No,No,No,Yes,7392,0,No,OFF0038,2,72,4,Yes,No,Sunday,Morning,Fall,November,2023,No,Snow,35,Third Party,Medium,Recorded,Completed
INC00000049,2023-000049,2023-09-11,07:48:00,2023-09-07,13:53:00,Robbery,Property,4R,Misdemeanor,Transit,789 Pine St,40.713399,-73.985285,South,3E,Southview,46376,7,2,25-34,Female,Asian,0,25-34,Unknown,Unknown,No,,Yes,Under Investigation,Unknown,Unknown,No,No,No,No,40951,0,No,OFF0433,1,76,4,Yes,Yes,Wednesday,Afternoon,Fall,September,2023,No,Cloudy,89,Anonymous,High,Not Applicable / Pending,Not Applicable
INC00000050,2023-000050,2023-11-22,13:28:00,2023-11-16,01:25:00,Vandalism,Other,2H,Misdemeanor,Restaurant,3828 Main St,40.685612,-73.912312,West,20A,Westside,11388,11,4,65+,Male,Unknown,3,35-44,Unknown,Asian,Yes,2023-12-09,No,Open,Unfounded,Unknown,No,No,No,No,0,0,No,OFF0391,3,61,4,No,Yes,Friday,Night,Fall,November,2023,No,Clear,52,Officer,Medium,Recorded,Completed
INC00000051,2023-000051,2023-01-21,15:03:00,2023-01-18,02:36:00,Sexual Assault,Violent,3B,Misdemeanor,Mall,3060 Pine St,40.568897,-74.038173,South,2E,Southview,25247,9,3,25-34,Unknown,Other,0,45-54,Male,Other,No,,No,Closed - Cleared,Arrest,Unknown,Yes,No,No,No,21887,0,No,OFF0298,1,179,3,No,No,Monday,Night,Winter,January,2023,No,Fog,57,Anonymous,Low,Not Applicable / Pending,Not Applicable
INC00000052,2023-000052,2023-09-07,08:40:00,2023-09-07,22:24:00,Domestic Violence,Other,8V,Misdemeanor,Gas Station,9694 Pine St,40.953324,-73.780645,North,12E,Northgate,19222,1,2,45-54,Female,White,2,Unknown,Unknown,Unknown,No,,No,Suspended,Unknown,Unknown,No,No,No,Yes,0,0,Yes,OFF0002,3,95,1,No,Yes,Saturday,Night,Fall,September,2023,No,Fog,75,Witness,Medium,Not Applicable / Pending,Not Applicable
INC00000053,2023-000053,2023-12-03,20:46:00,2023-12-01,16:50:00,Sexual Assault,Violent,5V,Infraction,Transit,5859 Pine St,40.484329,-74.062859,Central,3D,Midtown,73117,5,3,65+,Female,Asian,3,Unknown,Unknown,Hispanic,Yes,,No,Closed - Cleared,Unfounded,Unknown,No,No,No,No,0,0,No,OFF0379,1,182,0,Yes,No,Tuesday,Afternoon,Winter,December,2023,No,Snow,84,Anonymous,Low,Not Applicable / Pending,Pending
INC00000054,2023-000054,2023-02-03,18:04:00,2023-01-29,08:23:00,Theft,Property,7X,Misdemeanor,Bank,3556 Cedar St,40.569802,-74.150865,Suburbs,6A,Eastbrook,90112,9,1,18-24,Unknown,Hispanic,3,25-34,Unknown,Hispanic,No,,Yes,Closed - Cleared,Arrest,Unknown,No,No,No,Yes,36708,0,No,OFF0154,2,120,4,Yes,No,Sunday,Morning,Winter,February,2023,No,Clear,84,Officer,Low,Not Applicable / Pending,Not Applicable
INC00000055,2023-000055,2023-10-11,21:41:00,2023-10-06,15:43:00,Homicide,Violent,8T,Infraction,Bank,1851 Pine St,40.518606,-73.853956,South,8D,Northgate,58527,10,2,65+,Unknown,White,0,55+,Unknown,Hispanic,Yes,2024-01-02,No,Closed - Unfounded,Unknown,Unknown,No,No,No,Yes,0,0,No,OFF0116,1,85,1,Yes,No,Friday,Afternoon,Fall,October,2023,No,Fog,69,Officer,Low,Recorded,Completed
INC00000056,2023-000056,2023-05-14,03:02:00,2023-05-14,19:00:00,Domestic Violence,Other,3Q,Felony,Bank,3988 Cedar St,40.839128,-74.063192,Downtown,18A,Southview,24511,4,1,0-17,Female,Other,2,55+,Unknown,Other,No,,Yes,Closed - Cleared,Unknown,Unknown,No,Yes,No,No,200,0,Yes,OFF0070,3,29,1,Yes,Yes,Tuesday,Evening,Spring,May,2023,No,Fog,45,Third Party,Medium,Not Applicable / Pending,Not Applicable
INC00000057,2023-000057,2023-06-06,05:56:00,2023-05-31,18:45:00,Vandalism,Other,3E,Infraction,School,5850 Oak St,40.935638,-74.172396,Downtown,13D,Oak Park,26165,4,1,Unknown,Male,Other,3,25-34,Unknown,White,No,,Yes,Closed - Unfounded,Arrest,Unknown,No,No,No,Yes,0,0,No,OFF0316,3,194,3,No,No,Thursday,Evening,Summer,June,2023,No,Snow,81,Third Party,High,Not Applicable / Pending,Not Applicable
